"Test Name","Question Number","Question Text","Option 1","Option 2","Option 3","Option 4","Correct Answer","Explanation"
"Mathematics","21","Domain of f(x)=√(9−x²):","x>3","x≤3","-3<x<3","-3≤x≤3","-3≤x≤3","Inside root must be >=0 → x ∈ [-3,3]."
"Mathematics","22","If det(A)=5, find det(2A) for 3×3 matrix:","10","20","40","80","40","det(kA)=k³ det(A)=8×5=40."
"Mathematics","23","d/dx (ln|sin x|) =","tan x","cot x","sec x","csc x","cot x","Derivative = cosx/sinx = cotx."
"Mathematics","24","Max value of 3sinx+4cosx =","3","4","5","7","5","Amplitude = √(3²+4²)=5."
"Mathematics","25","lim x→0 sin(3x)/x =","0","1","3","Does not exist","3","sin(3x)/(3x)=1 → value=3."
"Mathematics","26","Standard circle equation with center (h,k) & radius r:","(x-h)²+(y-k)²=r","(x+h)²+(y+k)²=r²","(x-h)²+(y-k)²=r²","(x+h)²+(y+k)²=r","(x-h)²+(y-k)²=r²","Standard form of circle."
"Mathematics","27","Solve log₂(x−1)=3","x=7","x=9","x=10","x=5","x=9","x−1=8 → x=9."
"Mathematics","28","Slope=-2, passes through (1,5) → y-intercept:","3","7","-2","5","7","Equation: y=-2x+7 → intercept=7."
"Mathematics","29","GP: a=2,r=3, find 4th term","18","24","54","162","54","T₄=2×3³=54."
"Mathematics","30","Period of cos(4x)","2π","π","π/2","4π","π/2","T=2π/4=π/2."
